age,likes_sports,sport_indoor_outdoor,which_sport,sport_hours_per_day,sport_team_solo,sport_activity_level,sport_frequency,likes_arts,which_art,art_creativity,art_performance,art_hours,art_learning_style,art_digital_traditional,likes_academics,fav_subject,acad_problem_solving,acad_curiosity,acad_study_type,acad_competitions,acad_reading_habit,likes_analytical,analy_puzzle_type,analy_logic_level,analy_challenge,analy_work_style,analy_coding_interest,analy_patience_level,health_condition,health_energy,health_outdoor_preference,health_activity_preference,health_hours,health_sleep_quality,category,hobby
12,Yes,indoor,Swimming,Medium,Individual,High,5+ days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,High,No,Gymnastics,Medium,Average,Sports,Swimming
11,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,High,No,Swimming,Medium,Good,Health,Swimming
15,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Logical Games,Medium,Yes,Alone,No,High,None,High,No,Other,High,Good,Analytical,Robotics
15,Yes,both,Basketball,Low,Individual,Medium,1-2 days,No,None,None,None,None,None,None,Yes,Language,No,No,Group,Yes,No,Yes,Other,High,Yes,With others,Yes,Low,Joint Pain,Medium,No,Yoga,Low,Average,Analytical,Coding
7,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Other,High,No,With others,Yes,High,None,Medium,No,Other,High,Average,Analytical,Coding
10,Yes,indoor,Badminton,Medium,Team,Low,5+ days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,High,No,Yoga,High,Average,Sports,Badminton
7,Yes,indoor,Carrom,High,Individual,High,3-4 days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,High,No,Other,High,Good,Sports,Carrom
7,Yes,indoor,Chess,Low,Individual,High,1-2 days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Joint Pain,High,No,Other,High,Poor,Health,Yoga
10,Yes,outdoor,Cricket,Low,Team,Medium,5+ days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Logical Games,Low,Yes,Alone,No,Low,None,High,Yes,Gymnastics,Low,Average,Sports,Cricket
17,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Medium,Yes,Running,Medium,Good,Health,Running
17,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Other,No,No,Individual,No,No,Yes,Robotics,High,No,With others,Yes,Medium,Asthma,Medium,Yes,Meditation,Low,Average,Analytical,Robotics
11,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Math,Yes,Yes,Group,Yes,Yes,No,None,None,None,None,None,None,None,High,No,Swimming,Medium,Good,Academics,Math Olympiad
11,Yes,outdoor,Other,Medium,Team,Medium,3-4 days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Joint Pain,Medium,No,Yoga,Medium,Good,Sports,Cricket
10,No,None,None,None,None,None,None,Yes,Music,Medium,Yes,High,Structured,Digital,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Joint Pain,Medium,Yes,Swimming,High,Poor,Arts,Music
13,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Other,No,Yes,Group,No,Yes,No,None,None,None,None,None,None,Joint Pain,High,Yes,Meditation,Low,Good,Academics,Math Olympiad
8,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Other,High,Yes,Alone,Yes,Medium,None,High,No,Running,Low,Poor,Analytical,Coding
16,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Robotics,High,Yes,Alone,No,High,None,Medium,No,Gymnastics,Medium,Average,Analytical,Robotics
10,No,None,None,None,None,None,None,Yes,Drawing,Medium,No,High,Structured,Both,Yes,Other,No,No,Individual,No,Yes,No,None,None,None,None,None,None,None,Low,No,Swimming,High,Good,Arts,Drawing
12,Yes,indoor,Chess,Low,Team,Low,5+ days,No,None,None,None,None,None,None,Yes,Language,Yes,Yes,Group,No,Yes,No,None,None,None,None,None,None,None,Low,No,Other,Low,Average,Academics,Creative Writing
5,No,None,None,None,None,None,None,Yes,Dance,High,No,High,Free,Traditional,No,None,None,None,None,None,None,Yes,Logical Games,Low,No,With others,No,Medium,None,Low,No,Meditation,Low,Poor,Arts,Dance
14,No,None,None,None,None,None,None,Yes,Dance,Medium,No,High,Structured,Both,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Low,No,Other,Medium,Good,Arts,Dance
7,Yes,indoor,Table Tennis,High,Team,High,3-4 days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,High,No,Other,High,Good,Sports,Table Tennis
15,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Robotics,Medium,No,Alone,No,Low,None,High,Yes,Yoga,High,Average,Health,Yoga
15,Yes,both,Swimming,Low,Team,Low,5+ days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Other,High,Yes,Yoga,High,Good,Health,Yoga
17,No,None,None,None,None,None,None,Yes,Music,Low,No,Medium,Structured,Traditional,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,High,Yes,Other,High,Average,Health,Yoga
10,Yes,both,Basketball,High,Team,High,1-2 days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Medium,No,Other,High,Good,Sports,Basketball
11,Yes,outdoor,Swimming,High,Team,Medium,5+ days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Joint Pain,High,Yes,Meditation,High,Good,Sports,Swimming
13,No,None,None,None,None,None,None,Yes,Music,High,Yes,Medium,Structured,Digital,Yes,Math,No,No,Group,No,No,No,None,None,None,None,None,None,None,High,Yes,Gymnastics,High,Average,Arts,Music
7,Yes,both,Other,Low,Individual,Medium,5+ days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Joint Pain,Medium,No,Yoga,Low,Good,Sports,Cricket
9,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Other,Low,Yes,Swimming,High,Good,Health,Swimming
11,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Robotics,Medium,No,Alone,Yes,Medium,Other,High,No,Gymnastics,High,Poor,Health,Gymnastics
11,Yes,indoor,Swimming,Low,Individual,High,5+ days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Low,No,Other,Low,Good,Sports,Swimming
10,Yes,indoor,Other,Medium,Team,Medium,1-2 days,No,None,None,None,None,None,None,Yes,Science,No,No,Individual,No,No,Yes,Logical Games,High,Yes,With others,Yes,Medium,None,Low,Yes,Swimming,Medium,Good,Analytical,Robotics
5,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Other,Yes,Yes,Individual,Yes,Yes,No,None,None,None,None,None,None,Asthma,Medium,Yes,Swimming,High,Good,Academics,Math Olympiad
17,Yes,indoor,Badminton,Medium,Team,High,1-2 days,No,None,None,None,None,None,None,Yes,Science,No,No,Group,No,No,No,None,None,None,None,None,None,Asthma,High,Yes,Other,Medium,Average,Health,Yoga
12,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Other,Yes,Yes,Group,No,No,No,None,None,None,None,None,None,None,High,No,Other,High,Good,Health,Yoga
8,Yes,outdoor,Other,High,Individual,High,5+ days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Other,Low,No,Running,High,Average,Sports,Cricket
17,Yes,indoor,Badminton,Low,Individual,High,1-2 days,No,None,None,None,None,None,None,Yes,Math,Yes,Yes,Individual,Yes,Yes,No,None,None,None,None,None,None,Other,Medium,No,Running,Low,Good,Academics,Math Olympiad
14,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Other,No,No,Individual,No,No,No,None,None,None,None,None,None,None,Medium,Yes,Other,High,Good,Health,Yoga
10,Yes,outdoor,Other,Low,Team,Low,1-2 days,Yes,Music,High,Yes,High,Structured,Digital,Yes,Science,No,No,Group,No,Yes,No,None,None,None,None,None,None,Asthma,Low,No,Gymnastics,High,Average,Arts,Music
6,Yes,indoor,Table Tennis,Medium,Individual,High,5+ days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Medium,No,Other,Low,Good,Sports,Table Tennis
16,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Science,No,Yes,Group,Yes,Yes,No,None,None,None,None,None,None,Other,High,Yes,Yoga,High,Poor,Academics,Science Club
9,No,None,None,None,None,None,None,Yes,Other,Medium,Yes,Medium,Free,Both,Yes,Other,No,Yes,Individual,No,No,No,None,None,None,None,None,None,Joint Pain,Low,No,Yoga,High,Poor,Arts,Drawing
13,Yes,outdoor,Swimming,Low,Individual,High,1-2 days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,High,No,Running,Low,Good,Sports,Swimming
14,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Science,Yes,Yes,Individual,No,Yes,No,None,None,None,None,None,None,Asthma,Low,Yes,Swimming,Low,Good,Academics,Science Club
9,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Math,Yes,Yes,Group,Yes,No,No,None,None,None,None,None,None,Other,High,No,Yoga,Medium,Average,Academics,Math Olympiad
16,Yes,indoor,Carrom,High,Individual,High,5+ days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Low,No,Yoga,High,Good,Sports,Carrom
10,Yes,indoor,Carrom,High,Individual,High,5+ days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Low,No,Running,High,Good,Sports,Carrom
8,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Robotics,High,No,Alone,Yes,Low,None,High,No,Running,Low,Poor,Analytical,Robotics
12,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Math,No,Yes,Group,No,Yes,No,None,None,None,None,None,None,Other,Medium,Yes,Gymnastics,High,Good,Academics,Math Olympiad
10,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Language,No,Yes,Individual,Yes,Yes,No,None,None,None,None,None,None,None,Medium,No,Swimming,Low,Poor,Academics,Creative Writing
13,Yes,outdoor,Other,Low,Team,Low,1-2 days,Yes,Dance,Low,Yes,High,Free,Both,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,High,No,Running,High,Good,Arts,Dance
12,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Logical Games,Medium,Yes,With others,Yes,High,None,Medium,Yes,Swimming,High,Poor,Analytical,Robotics
12,Yes,both,Swimming,Medium,Team,High,3-4 days,Yes,Drawing,Low,No,Low,Free,Both,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Joint Pain,High,No,Yoga,High,Good,Sports,Swimming
16,Yes,both,Badminton,Low,Team,High,5+ days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,High,No,Gymnastics,High,Average,Sports,Badminton
8,Yes,outdoor,Swimming,Medium,Individual,Medium,3-4 days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,High,No,Swimming,Medium,Poor,Sports,Swimming
15,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Science,Yes,Yes,Group,No,Yes,No,None,None,None,None,None,None,None,High,No,Swimming,Low,Poor,Academics,Science Club
9,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Joint Pain,High,No,Yoga,High,Good,Health,Yoga
11,No,None,None,None,None,None,None,Yes,Music,High,No,High,Free,Both,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Medium,Yes,Running,Medium,Average,Arts,Music
15,Yes,outdoor,Other,High,Team,High,3-4 days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Other,Low,Yes,Gymnastics,Medium,Average,Sports,Cricket
16,No,None,None,None,None,None,None,Yes,Drawing,High,No,Low,Free,Digital,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,High,Yes,Running,High,Good,Health,Running
16,Yes,indoor,Swimming,High,Individual,Medium,5+ days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Coding,Low,Yes,With others,No,Low,Joint Pain,Medium,Yes,Yoga,Medium,Average,Sports,Swimming
9,Yes,both,Badminton,Medium,Individual,Low,1-2 days,No,None,None,None,None,None,None,Yes,Language,Yes,Yes,Individual,No,Yes,No,None,None,None,None,None,None,Asthma,Low,No,Other,Low,Average,Academics,Creative Writing
14,No,None,None,None,None,None,None,Yes,Other,Medium,No,Medium,Structured,Both,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Joint Pain,Low,No,Yoga,High,Good,Arts,Drawing
6,Yes,both,Swimming,Low,Individual,Low,1-2 days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,High,Yes,Swimming,Medium,Good,Health,Swimming
11,No,None,None,None,None,None,None,Yes,Dance,Medium,No,High,Structured,Both,Yes,Other,No,Yes,Individual,No,No,No,None,None,None,None,None,None,None,Medium,Yes,Gymnastics,Medium,Average,Arts,Dance
17,Yes,both,Basketball,Low,Individual,High,1-2 days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Joint Pain,High,Yes,Yoga,High,Average,Sports,Basketball
7,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Coding,High,No,With others,No,Low,None,Medium,Yes,Other,High,Good,Health,Yoga
17,Yes,both,Table Tennis,Medium,Team,Low,1-2 days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Other,Medium,No,With others,Yes,Low,Other,Low,Yes,Swimming,Low,Poor,Sports,Table Tennis
9,Yes,both,Badminton,High,Team,Medium,3-4 days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Joint Pain,Low,No,Yoga,Medium,Average,Sports,Badminton
13,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Joint Pain,Low,No,Yoga,Medium,Average,Health,Yoga
16,No,None,None,None,None,None,None,Yes,Music,Medium,No,High,Free,Both,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Low,No,Swimming,Medium,Good,Arts,Music
7,No,None,None,None,None,None,None,Yes,Drawing,Low,Yes,Medium,Structured,Digital,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,High,Yes,Swimming,Low,Poor,Arts,Drawing
16,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Language,Yes,No,Individual,Yes,Yes,No,None,None,None,None,None,None,None,Medium,Yes,Other,High,Good,Academics,Creative Writing
8,No,None,None,None,None,None,None,Yes,Dance,High,Yes,High,Free,Traditional,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,Low,No,Running,Medium,Poor,Arts,Dance
10,No,None,None,None,None,None,None,Yes,Music,High,Yes,High,Free,Traditional,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Asthma,Medium,Yes,Other,Medium,Good,Arts,Music
15,No,None,None,None,None,None,None,Yes,Other,High,Yes,Medium,Structured,Both,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Other,High,Yes,Yoga,High,Poor,Arts,Drawing
15,Yes,indoor,Table Tennis,Medium,Team,High,3-4 days,No,None,None,None,None,None,None,No,None,None,None,None,None,None,Yes,Other,High,No,With others,Yes,Low,None,Low,Yes,Running,High,Good,Sports,Table Tennis
13,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,No,None,None,None,None,None,None,None,High,No,Swimming,High,Good,Health,Swimming
