age,likes_sports,sport_indoor_outdoor,which_sport,sport_hours_per_day,sport_team_solo,sport_activity_level,likes_arts,which_art,art_creativity,art_performance,art_hours,art_learning_style,likes_academics,fav_subject,acad_problem_solving,acad_curiosity,acad_study_type,acad_competitions,likes_analytical,analy_puzzle_type,analy_logic_level,analy_challenge,analy_work_style,analy_coding_interest,health_condition,health_energy,health_outdoor_preference,health_activity_preference,health_hours,health_note,category,hobby
11,Yes,both,Swimming,Medium,Individual,Low,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,None,Medium,No,Meditation,Medium,None,Sports,Swimming
12,Yes,outdoor,Football,Medium,Team,High,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,None,High,Yes,Meditation,High,None,Sports,Football
6,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Science,No,No,Group,No,No,None,None,None,None,None,Other,Medium,No,Yoga,Medium,None,Health,Yoga
16,Yes,indoor,Table Tennis,Low,Team,Low,No,None,None,None,None,None,Yes,Math,Yes,Yes,Individual,No,Yes,Coding,High,Yes,With others,No,Joint Pain,Medium,Yes,Swimming,High,None,Analytical,Coding
17,No,None,None,None,None,None,Yes,Music,Medium,Yes,Low,Structured,Yes,Math,No,Yes,Individual,No,No,None,None,None,None,None,None,High,No,Gymnastics,Low,None,Arts,Music
5,No,None,None,None,None,None,Yes,Dance,Low,No,Low,Free,No,None,None,None,None,None,No,None,None,None,None,None,Asthma,High,No,Meditation,Medium,None,Health,Meditation
10,No,None,None,None,None,None,Yes,Dance,High,No,Medium,Structured,No,None,None,None,None,None,No,None,None,None,None,None,None,Medium,No,Running,Medium,None,Arts,Dance
10,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,None,Low,Yes,Running,High,None,Health,Running
12,Yes,indoor,Badminton,Low,Individual,High,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Joint Pain,Low,No,Swimming,High,None,Sports,Badminton
12,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Science,No,Yes,Individual,Yes,No,None,None,None,None,None,Joint Pain,Medium,Yes,Swimming,High,None,Academics,Science Club
8,Yes,outdoor,Football,Medium,Team,Medium,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,None,Low,No,Yoga,High,None,Sports,Football
9,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Robotics,Low,Yes,With others,No,None,Medium,No,Gymnastics,Low,None,Analytical,Robotics
9,Yes,indoor,Table Tennis,Low,Individual,Low,Yes,Drawing,Low,No,High,Structured,No,None,None,None,None,None,No,None,None,None,None,None,Asthma,High,No,Meditation,Medium,None,Health,Meditation
14,No,None,None,None,None,None,Yes,Dance,Low,No,High,Structured,No,None,None,None,None,None,No,None,None,None,None,None,Asthma,Low,Yes,Yoga,High,None,Arts,Dance
7,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Logical Games,High,No,Alone,Yes,None,Medium,Yes,Meditation,Low,None,Analytical,Robotics
15,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Language,No,No,Individual,No,Yes,Logical Games,High,No,With others,No,None,Medium,Yes,Swimming,Low,None,Analytical,Robotics
16,No,None,None,None,None,None,Yes,Dance,Low,No,High,Structured,Yes,Math,No,No,Group,Yes,No,None,None,None,None,None,None,High,No,Meditation,Low,None,Academics,Math Olympiad
10,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Language,No,Yes,Group,Yes,No,None,None,None,None,None,Asthma,Medium,No,Meditation,Low,None,Academics,Creative Writing
13,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Robotics,High,No,Alone,Yes,None,Medium,Yes,Gymnastics,Medium,None,Analytical,Robotics
6,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Language,No,Yes,Individual,Yes,Yes,Robotics,Low,Yes,With others,No,None,High,No,Meditation,Medium,None,Academics,Creative Writing
8,Yes,indoor,Badminton,Medium,Individual,High,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Asthma,Medium,Yes,Meditation,High,None,Sports,Badminton
14,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Language,No,No,Group,Yes,No,None,None,None,None,None,Joint Pain,High,Yes,Swimming,Medium,None,Academics,Creative Writing
17,Yes,both,Swimming,High,Team,Medium,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Asthma,Low,Yes,Swimming,High,None,Sports,Swimming
6,Yes,indoor,Table Tennis,Low,Individual,Medium,No,None,None,None,None,None,Yes,Science,No,Yes,Group,No,Yes,Logical Games,High,No,Alone,Yes,Asthma,Low,No,Yoga,High,None,Analytical,Robotics
11,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Math,Yes,No,Individual,No,Yes,Logical Games,Medium,No,Alone,Yes,None,High,No,Swimming,High,None,Health,Swimming
7,Yes,outdoor,Football,Low,Individual,High,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,None,Medium,No,Gymnastics,High,None,Sports,Football
17,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Language,No,No,Group,No,No,None,None,None,None,None,Asthma,Medium,Yes,Meditation,Medium,None,Health,Meditation
8,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Logical Games,Low,Yes,With others,No,Asthma,Low,No,Yoga,High,None,Analytical,Robotics
14,Yes,indoor,Table Tennis,Medium,Team,High,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,None,Medium,Yes,Yoga,Medium,None,Sports,Table Tennis
16,Yes,indoor,Badminton,Low,Individual,Medium,Yes,Music,High,No,Low,Free,No,None,None,None,None,None,No,None,None,None,None,None,Asthma,Low,Yes,Yoga,High,None,Arts,Music
17,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Language,No,No,Group,Yes,No,None,None,None,None,None,Joint Pain,High,Yes,Meditation,Low,None,Academics,Creative Writing
14,Yes,outdoor,Football,Low,Team,Medium,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,None,Medium,Yes,Yoga,Low,None,Sports,Football
11,No,None,None,None,None,None,Yes,Music,High,Yes,Medium,Free,No,None,None,None,None,None,No,None,None,None,None,None,Asthma,Medium,Yes,Swimming,Medium,None,Arts,Music
12,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Language,No,Yes,Group,No,No,None,None,None,None,None,Asthma,Low,Yes,Meditation,Low,None,Academics,Creative Writing
15,No,None,None,None,None,None,Yes,Dance,Low,Yes,High,Structured,No,None,None,None,None,None,No,None,None,None,None,None,Other,High,Yes,Running,Medium,None,Arts,Dance
17,Yes,indoor,Table Tennis,Low,Team,Low,No,None,None,None,None,None,Yes,Math,No,Yes,Group,Yes,Yes,Puzzles,Medium,Yes,Alone,No,Joint Pain,High,Yes,Swimming,Low,None,Academics,Math Olympiad
12,No,None,None,None,None,None,Yes,Dance,High,No,Medium,Structured,No,None,None,None,None,None,No,None,None,None,None,None,None,Low,No,Meditation,Medium,None,Arts,Dance
12,No,None,None,None,None,None,Yes,Music,High,No,Medium,Free,Yes,Science,No,Yes,Individual,Yes,No,None,None,None,None,None,Other,Medium,No,Running,Medium,None,Academics,Science Club
12,No,None,None,None,None,None,Yes,Drawing,High,No,Low,Structured,No,None,None,None,None,None,No,None,None,None,None,None,Asthma,Low,Yes,Meditation,Low,None,Arts,Drawing
17,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,None,Medium,No,Yoga,Medium,None,Health,Yoga
10,No,None,None,None,None,None,Yes,Dance,Medium,Yes,Medium,Structured,No,None,None,None,None,None,No,None,None,None,None,None,None,Medium,Yes,Swimming,High,None,Arts,Dance
5,Yes,outdoor,Football,High,Individual,Low,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,None,Low,Yes,Yoga,High,None,Sports,Football
11,No,None,None,None,None,None,Yes,Dance,Low,Yes,Low,Structured,No,None,None,None,None,None,No,None,None,None,None,None,Asthma,High,Yes,Swimming,Low,None,Arts,Dance
12,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Science,Yes,No,Group,No,No,None,None,None,None,None,Other,Low,Yes,Meditation,High,None,Academics,Science Club
5,No,None,None,None,None,None,Yes,Drawing,Medium,No,Low,Structured,Yes,Science,Yes,No,Individual,No,No,None,None,None,None,None,None,High,Yes,Meditation,Low,None,Academics,Science Club
6,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,None,Low,No,Running,High,None,Health,Running
16,Yes,indoor,Badminton,Medium,Individual,Low,No,None,None,None,None,None,Yes,Science,Yes,Yes,Individual,Yes,No,None,None,None,None,None,None,Medium,No,Running,Low,None,Academics,Science Club
7,Yes,indoor,Badminton,Medium,Individual,High,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,None,High,No,Gymnastics,Low,None,Sports,Badminton
6,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Logical Games,Medium,No,Alone,Yes,Asthma,Medium,No,Yoga,High,None,Analytical,Robotics
14,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Puzzles,Medium,No,Alone,Yes,Joint Pain,Medium,Yes,Meditation,High,None,Analytical,Chess
13,Yes,outdoor,Football,Medium,Individual,Medium,Yes,Music,Medium,No,High,Structured,No,None,None,None,None,None,No,None,None,None,None,None,Other,High,No,Yoga,Medium,None,Arts,Music
13,No,None,None,None,None,None,Yes,Music,Low,Yes,Medium,Free,No,None,None,None,None,None,No,None,None,None,None,None,Other,High,No,Running,High,None,Arts,Music
9,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Joint Pain,Low,No,Swimming,Medium,None,Health,Swimming
10,Yes,outdoor,Football,Low,Team,Medium,Yes,Drawing,High,Yes,High,Free,No,None,None,None,None,None,No,None,None,None,None,None,None,High,Yes,Swimming,Medium,None,Arts,Drawing
7,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Robotics,Medium,Yes,With others,No,None,High,No,Running,High,None,Analytical,Robotics
9,No,None,None,None,None,None,Yes,Music,Medium,No,Low,Structured,No,None,None,None,None,None,No,None,None,None,None,None,Asthma,High,Yes,Meditation,Low,None,Health,Meditation
10,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Puzzles,Medium,No,Alone,No,Joint Pain,Low,Yes,Meditation,Medium,None,Analytical,Chess
11,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Logical Games,Low,No,Alone,Yes,None,Low,No,Meditation,High,None,Analytical,Robotics
17,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Puzzles,High,No,Alone,No,Other,Low,No,Yoga,Low,None,Analytical,Chess
11,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Math,Yes,Yes,Group,No,No,None,None,None,None,None,Other,Low,No,Running,High,None,Academics,Math Olympiad
7,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Other,High,Yes,Meditation,Medium,None,Health,Meditation
15,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Language,Yes,No,Individual,Yes,No,None,None,None,None,None,Asthma,Medium,No,Swimming,Low,None,Academics,Creative Writing
16,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Science,Yes,Yes,Individual,Yes,No,None,None,None,None,None,Asthma,Medium,No,Swimming,Medium,None,Academics,Science Club
9,No,None,None,None,None,None,Yes,Music,Medium,Yes,Medium,Free,No,None,None,None,None,None,No,None,None,None,None,None,None,Medium,No,Meditation,Medium,None,Arts,Music
12,Yes,indoor,Badminton,High,Team,High,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Other,Medium,No,Yoga,Low,None,Sports,Badminton
15,Yes,indoor,Table Tennis,High,Individual,Medium,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,None,High,Yes,Yoga,High,None,Health,Yoga
10,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Robotics,Low,Yes,Alone,Yes,Joint Pain,High,No,Meditation,Medium,None,Analytical,Robotics
14,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,None,Medium,No,Gymnastics,High,None,Health,Gymnastics
8,Yes,indoor,Table Tennis,High,Individual,Low,Yes,Dance,Medium,No,Low,Structured,No,None,None,None,None,None,No,None,None,None,None,None,None,Low,Yes,Meditation,Low,None,Sports,Table Tennis
6,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Science,Yes,Yes,Group,Yes,No,None,None,None,None,None,Other,Low,Yes,Running,Low,None,Academics,Science Club
5,Yes,outdoor,Cricket,Medium,Individual,High,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,None,High,No,Swimming,Medium,None,Sports,Cricket
14,Yes,outdoor,Football,High,Team,Low,No,None,None,None,None,None,Yes,Science,Yes,Yes,Individual,No,No,None,None,None,None,None,None,Low,Yes,Gymnastics,High,None,Academics,Science Club
10,No,None,None,None,None,None,Yes,Dance,Medium,Yes,High,Structured,No,None,None,None,None,None,No,None,None,None,None,None,Joint Pain,High,Yes,Yoga,High,None,Arts,Dance
14,No,None,None,None,None,None,Yes,Dance,Low,No,High,Structured,Yes,Science,No,No,Group,Yes,No,None,None,None,None,None,None,High,No,Gymnastics,Medium,None,Arts,Dance
16,Yes,indoor,Table Tennis,High,Individual,Medium,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,None,Low,No,Swimming,High,None,Sports,Table Tennis
10,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Science,No,Yes,Individual,No,Yes,Logical Games,Low,Yes,With others,No,None,Medium,No,Meditation,Low,None,Analytical,Robotics
11,No,None,None,None,None,None,Yes,Dance,High,No,Medium,Structured,No,None,None,None,None,None,Yes,Coding,Medium,Yes,With others,No,Joint Pain,Medium,No,Yoga,Medium,None,Arts,Dance
14,Yes,indoor,Badminton,High,Team,Low,No,None,None,None,None,None,Yes,Math,No,No,Group,No,No,None,None,None,None,None,Joint Pain,Low,Yes,Swimming,High,None,Sports,Badminton
13,Yes,both,Swimming,High,Team,Medium,Yes,Dance,Medium,Yes,Medium,Free,No,None,None,None,None,None,No,None,None,None,None,None,None,High,No,Swimming,High,None,Arts,Dance
16,Yes,both,Swimming,Medium,Team,High,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Joint Pain,Medium,No,Swimming,High,None,Sports,Swimming
16,No,None,None,None,None,None,Yes,Drawing,High,Yes,Low,Structured,No,None,None,None,None,None,No,None,None,None,None,None,None,Low,Yes,Meditation,Medium,None,Arts,Drawing
7,Yes,both,Swimming,Low,Team,High,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Asthma,Medium,No,Swimming,Medium,None,Sports,Swimming
7,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Language,No,Yes,Individual,No,No,None,None,None,None,None,Asthma,High,No,Yoga,Medium,None,Health,Yoga
16,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Science,Yes,No,Group,No,No,None,None,None,None,None,None,Low,No,Yoga,Medium,None,Academics,Science Club
10,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Language,No,Yes,Individual,Yes,No,None,None,None,None,None,Asthma,Low,Yes,Swimming,High,None,Academics,Creative Writing
15,Yes,outdoor,Cricket,High,Team,Medium,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Robotics,Medium,Yes,With others,No,None,Medium,Yes,Yoga,High,None,Sports,Cricket
13,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Puzzles,Low,No,With others,Yes,Other,High,No,Yoga,Low,None,Health,Yoga
14,Yes,indoor,Badminton,Low,Individual,Medium,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Joint Pain,Low,Yes,Meditation,Low,None,Sports,Badminton
15,No,None,None,None,None,None,Yes,Drawing,Low,No,Medium,Free,No,None,None,None,None,None,No,None,None,None,None,None,None,Low,No,Yoga,Low,None,Arts,Drawing
12,No,None,None,None,None,None,Yes,Music,Medium,Yes,Medium,Free,No,None,None,None,None,None,No,None,None,None,None,None,None,High,Yes,Yoga,High,None,Arts,Music
12,Yes,outdoor,Cricket,High,Individual,Medium,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,None,High,Yes,Running,Low,None,Sports,Cricket
7,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Asthma,High,Yes,Yoga,High,None,Health,Yoga
13,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Puzzles,High,Yes,Alone,No,Asthma,High,No,Yoga,High,None,Analytical,Chess
16,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Robotics,Medium,Yes,With others,No,Joint Pain,High,Yes,Meditation,Medium,None,Analytical,Robotics
16,No,None,None,None,None,None,Yes,Drawing,Medium,Yes,Medium,Free,No,None,None,None,None,None,Yes,Puzzles,Low,No,With others,No,None,Medium,No,Meditation,Low,None,Arts,Drawing
15,Yes,outdoor,Cricket,Low,Individual,Medium,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Robotics,High,No,Alone,Yes,None,Medium,No,Running,Medium,None,Analytical,Robotics
16,Yes,outdoor,Football,Low,Team,Low,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,None,High,Yes,Meditation,High,None,Health,Meditation
8,Yes,outdoor,Football,High,Individual,Low,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Other,High,No,Swimming,High,None,Health,Swimming
8,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,None,High,Yes,Meditation,High,None,Health,Meditation
5,No,None,None,None,None,None,Yes,Music,Medium,Yes,High,Free,No,None,None,None,None,None,No,None,None,None,None,None,None,Low,Yes,Gymnastics,High,None,Arts,Music
17,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Asthma,Low,No,Yoga,Medium,None,Health,Yoga
12,Yes,both,Swimming,Low,Team,Low,No,None,None,None,None,None,Yes,Language,Yes,No,Individual,No,No,None,None,None,None,None,None,Medium,Yes,Running,Low,None,Academics,Creative Writing
16,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Asthma,Medium,No,Meditation,Medium,None,Health,Meditation
9,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Math,No,No,Group,Yes,No,None,None,None,None,None,None,High,Yes,Running,Low,None,Academics,Math Olympiad
13,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Math,No,No,Group,No,No,None,None,None,None,None,Joint Pain,High,No,Meditation,Low,None,Health,Meditation
7,Yes,both,Swimming,Low,Team,High,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,None,Low,Yes,Meditation,Low,None,Sports,Swimming
6,Yes,both,Swimming,Medium,Individual,Low,Yes,Drawing,High,No,Low,Structured,No,None,None,None,None,None,Yes,Logical Games,High,No,Alone,No,Other,Low,Yes,Yoga,High,None,Arts,Drawing
8,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,None,Medium,No,Swimming,Low,None,Health,Swimming
9,No,None,None,None,None,None,Yes,Music,Medium,No,High,Free,No,None,None,None,None,None,No,None,None,None,None,None,Other,Low,Yes,Running,Low,None,Arts,Music
11,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Coding,Low,Yes,With others,No,Other,Low,Yes,Gymnastics,High,None,Analytical,Coding
7,Yes,outdoor,Cricket,Medium,Team,High,Yes,Drawing,High,No,High,Free,Yes,Science,Yes,Yes,Group,Yes,No,None,None,None,None,None,None,Low,No,Running,Low,None,Academics,Science Club
14,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Robotics,Medium,Yes,With others,No,Joint Pain,Medium,Yes,Swimming,High,None,Analytical,Robotics
6,Yes,both,Swimming,Low,Individual,Medium,Yes,Music,Low,Yes,Low,Free,Yes,Science,No,No,Individual,Yes,No,None,None,None,None,None,Joint Pain,Low,Yes,Meditation,Medium,None,Academics,Science Club
6,Yes,outdoor,Cricket,Medium,Individual,Medium,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,None,Low,Yes,Swimming,High,None,Sports,Cricket
15,Yes,indoor,Badminton,Medium,Individual,Medium,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Coding,Medium,No,Alone,No,Asthma,High,Yes,Meditation,Low,None,Sports,Badminton
9,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Science,Yes,No,Group,Yes,No,None,None,None,None,None,None,Medium,No,Running,Medium,None,Academics,Science Club
9,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Logical Games,Low,Yes,Alone,Yes,Other,High,No,Running,Medium,None,Analytical,Robotics
16,No,None,None,None,None,None,Yes,Music,High,Yes,High,Free,No,None,None,None,None,None,No,None,None,None,None,None,None,Medium,Yes,Meditation,High,None,Arts,Music
14,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Asthma,Medium,Yes,Yoga,Low,None,Health,Yoga
7,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Science,Yes,Yes,Individual,No,No,None,None,None,None,None,Other,Low,Yes,Meditation,Medium,None,Academics,Science Club
12,No,None,None,None,None,None,No,None,None,None,None,None,No,None,None,None,None,None,Yes,Robotics,Low,Yes,Alone,No,Other,Medium,No,Meditation,Low,None,Analytical,Robotics
