sport_type,sport_activity_level,sport_play_style,favorite_sport,art_type,art_creativity,art_performance,art_learning,acad_subject,acad_problem_solving,acad_curiosity,acad_study_type,analy_interest,analy_logic,analy_challenge,analy_work_style,health_activity_type,health_energy,health_outdoor,health_activity,category,hobby
indoor,Low,Individual,Football,Music,High,Yes,Structured,Language,Yes,No,Group,Puzzles,Medium,Yes,With others,Relaxation,Medium,No,Running,Arts,Music
indoor,Low,Team,Football,Music,Low,No,Structured,Language,Yes,Yes,Group,Logical Games,Medium,No,Alone,Physical,Low,No,Gymnastics,Academics,Creative Writing
outdoor,Low,Individual,Chess,Dance,Low,No,Structured,Science,No,Yes,Group,Puzzles,Low,No,With others,Physical,High,Yes,Running,Health,Running
outdoor,Medium,Team,Table Tennis,Drawing,Low,No,Structured,Language,No,No,Individual,Coding,Low,No,With others,Relaxation,Low,No,Meditation,Health,Meditation
outdoor,Low,Team,Table Tennis,Drawing,High,Yes,Free,Math,No,No,Group,Puzzles,Low,No,With others,Physical,Low,Yes,Running,Arts,Drawing
outdoor,High,Team,Cricket,Dance,Low,No,Free,Math,No,No,Group,Coding,Low,No,Alone,Physical,Medium,Yes,Gymnastics,Sports,Cricket
indoor,Low,Individual,Table Tennis,Drawing,High,Yes,Free,Science,No,No,Individual,Coding,Medium,No,Alone,Relaxation,Medium,No,Running,Arts,Drawing
indoor,Medium,Individual,Cricket,Dance,High,Yes,Free,Science,No,No,Individual,Coding,Low,No,Alone,Relaxation,Low,No,Meditation,Health,Meditation
indoor,Medium,Individual,Chess,Music,Low,No,Structured,Language,No,No,Group,Puzzles,Low,No,Alone,Relaxation,High,Yes,Running,Health,Running
indoor,High,Individual,Table Tennis,Drawing,Low,No,Free,Language,No,No,Individual,Puzzles,Low,No,Alone,Relaxation,Low,Yes,Running,Sports,Table Tennis
outdoor,High,Individual,Cricket,Dance,Low,No,Free,Science,No,No,Group,Coding,Low,No,With others,Physical,Medium,Yes,Meditation,Sports,Swimming
outdoor,Medium,Team,Badminton,Music,Low,No,Free,Science,Yes,No,Individual,Logical Games,High,Yes,With others,Physical,Low,No,Meditation,Analytical,Chess
outdoor,High,Team,Football,Music,Low,No,Free,Math,No,No,Individual,Puzzles,Low,No,With others,Physical,Low,Yes,Meditation,Sports,Football
indoor,High,Team,Chess,Dance,Low,No,Structured,Science,No,No,Group,Coding,Low,No,With others,Physical,High,Yes,Gymnastics,Health,Gymnastics
indoor,Medium,Team,Cricket,Drawing,Low,No,Free,Language,No,Yes,Group,Coding,High,Yes,Alone,Relaxation,Low,No,Meditation,Analytical,Coding
outdoor,Low,Team,Football,Drawing,Low,No,Free,Math,Yes,Yes,Individual,Coding,High,No,Alone,Physical,Medium,No,Running,Academics,Math Olympiad
indoor,High,Individual,Table Tennis,Music,Low,No,Structured,Math,No,No,Individual,Coding,Low,No,Alone,Relaxation,Medium,No,Meditation,Sports,Table Tennis
indoor,Medium,Individual,Cricket,Dance,Medium,No,Structured,Math,Yes,Yes,Group,Puzzles,High,Yes,Alone,Physical,Low,Yes,Gymnastics,Analytical,Chess
outdoor,Low,Team,Badminton,Dance,High,Yes,Free,Math,No,No,Individual,Logical Games,Low,Yes,With others,Physical,Low,Yes,Yoga,Arts,Dance
indoor,Low,Individual,Table Tennis,Drawing,High,Yes,Free,Language,No,No,Individual,Puzzles,Low,No,With others,Physical,Medium,Yes,Meditation,Arts,Drawing
outdoor,Low,Team,Chess,Drawing,Low,No,Structured,Language,Yes,Yes,Individual,Coding,Low,Yes,Alone,Physical,Low,No,Yoga,Academics,Creative Writing
indoor,Low,Individual,Cricket,Drawing,Medium,No,Free,Language,No,No,Individual,Logical Games,Medium,No,With others,Physical,High,Yes,Gymnastics,Health,Gymnastics
indoor,Low,Individual,Football,Dance,Medium,No,Structured,Science,Yes,Yes,Group,Coding,High,No,With others,Relaxation,Medium,No,Meditation,Academics,Science Club
outdoor,Medium,Individual,Chess,Drawing,Low,No,Free,Math,No,No,Individual,Puzzles,Low,No,Alone,Relaxation,High,Yes,Yoga,Health,Yoga
indoor,High,Individual,Football,Music,High,Yes,Structured,Science,No,No,Group,Logical Games,Low,No,Alone,Relaxation,High,Yes,Gymnastics,Arts,Music
outdoor,High,Individual,Badminton,Drawing,Medium,No,Structured,Science,No,No,Individual,Coding,Low,Yes,With others,Physical,High,Yes,Running,Health,Running
indoor,High,Individual,Badminton,Dance,Low,No,Structured,Science,No,No,Individual,Logical Games,Low,No,With others,Physical,Low,Yes,Meditation,Sports,Swimming
indoor,Low,Individual,Chess,Music,Low,No,Structured,Language,Yes,Yes,Group,Logical Games,Medium,Yes,Alone,Physical,High,No,Running,Academics,Creative Writing
outdoor,Low,Team,Cricket,Music,Low,No,Free,Language,No,No,Individual,Coding,Medium,No,Alone,Relaxation,High,Yes,Meditation,Health,Yoga
indoor,Low,Team,Table Tennis,Music,Medium,No,Free,Language,No,Yes,Individual,Puzzles,High,No,Alone,Relaxation,Medium,Yes,Gymnastics,Academics,Creative Writing
outdoor,Medium,Individual,Table Tennis,Music,High,No,Structured,Math,No,No,Group,Logical Games,High,Yes,Alone,Relaxation,Medium,No,Yoga,Analytical,Chess
indoor,Medium,Individual,Chess,Music,High,Yes,Structured,Science,Yes,No,Group,Logical Games,Low,Yes,Alone,Physical,Low,No,Yoga,Arts,Music
indoor,High,Individual,Chess,Drawing,Medium,No,Free,Language,No,No,Group,Puzzles,Low,No,Alone,Physical,High,Yes,Gymnastics,Health,Gymnastics
outdoor,High,Team,Football,Music,Low,No,Structured,Science,No,No,Individual,Puzzles,Low,No,Alone,Physical,Low,Yes,Gymnastics,Sports,Football
indoor,High,Individual,Badminton,Music,Low,No,Free,Math,No,No,Individual,Logical Games,Low,No,Alone,Relaxation,Low,No,Yoga,Sports,Badminton
outdoor,High,Team,Cricket,Music,Low,No,Free,Math,No,No,Individual,Puzzles,Low,No,With others,Relaxation,Low,No,Running,Sports,Cricket
outdoor,Low,Individual,Chess,Drawing,Medium,Yes,Free,Math,Yes,Yes,Individual,Puzzles,Medium,No,Alone,Relaxation,Low,No,Gymnastics,Academics,Math Olympiad
indoor,Low,Team,Badminton,Drawing,High,Yes,Free,Math,No,No,Group,Coding,Low,Yes,With others,Relaxation,Low,Yes,Running,Arts,Drawing
outdoor,High,Team,Cricket,Dance,Low,No,Structured,Math,No,No,Group,Coding,Low,No,Alone,Physical,High,No,Running,Sports,Cricket
indoor,High,Individual,Badminton,Music,Low,No,Free,Math,No,No,Group,Coding,Low,No,With others,Relaxation,Medium,No,Running,Sports,Badminton
indoor,High,Individual,Table Tennis,Drawing,Low,No,Structured,Science,No,No,Individual,Puzzles,Low,No,Alone,Relaxation,Low,No,Meditation,Sports,Table Tennis
indoor,Low,Team,Table Tennis,Music,Low,No,Structured,Language,Yes,Yes,Group,Puzzles,High,Yes,Alone,Physical,Low,No,Meditation,Academics,Creative Writing
outdoor,Low,Team,Football,Drawing,Low,No,Free,Science,Yes,No,Individual,Logical Games,High,Yes,With others,Relaxation,Low,No,Yoga,Academics,Science Club
indoor,High,Individual,Table Tennis,Dance,Low,No,Structured,Science,No,No,Group,Coding,Low,No,Alone,Relaxation,Low,Yes,Gymnastics,Sports,Table Tennis
indoor,Low,Individual,Cricket,Music,Low,No,Structured,Science,Yes,Yes,Group,Logical Games,High,Yes,With others,Physical,Medium,No,Meditation,Academics,Science Club
outdoor,Low,Team,Chess,Drawing,High,Yes,Free,Math,No,No,Individual,Logical Games,Low,No,Alone,Physical,Low,No,Meditation,Arts,Drawing
indoor,Low,Team,Chess,Drawing,High,Yes,Free,Language,No,No,Group,Coding,Medium,No,With others,Physical,High,Yes,Running,Arts,Drawing
indoor,High,Individual,Table Tennis,Dance,Low,No,Free,Math,No,No,Individual,Logical Games,Low,No,With others,Physical,Medium,Yes,Running,Sports,Table Tennis
outdoor,High,Team,Cricket,Dance,Low,No,Structured,Science,No,No,Individual,Puzzles,Low,No,Alone,Physical,Medium,Yes,Yoga,Sports,Cricket
outdoor,Low,Individual,Cricket,Music,Low,No,Free,Math,No,No,Group,Coding,High,Yes,With others,Physical,Low,No,Gymnastics,Analytical,Coding
outdoor,Low,Individual,Badminton,Music,High,Yes,Structured,Math,No,No,Group,Puzzles,High,No,Alone,Physical,Medium,No,Gymnastics,Arts,Music
indoor,Low,Individual,Badminton,Dance,High,Yes,Structured,Math,No,Yes,Individual,Puzzles,Low,No,With others,Physical,Medium,Yes,Gymnastics,Arts,Dance
indoor,Medium,Team,Football,Music,High,No,Structured,Science,Yes,No,Group,Puzzles,Low,No,Alone,Physical,High,Yes,Running,Health,Running
outdoor,Low,Team,Badminton,Drawing,Medium,No,Structured,Language,Yes,Yes,Individual,Coding,High,Yes,Alone,Relaxation,High,No,Meditation,Analytical,Coding
outdoor,Low,Individual,Badminton,Dance,Low,No,Structured,Language,Yes,Yes,Group,Puzzles,Medium,Yes,With others,Relaxation,Low,No,Gymnastics,Academics,Creative Writing
indoor,Low,Team,Table Tennis,Music,Low,No,Free,Language,Yes,No,Group,Logical Games,High,Yes,With others,Relaxation,Low,Yes,Meditation,Analytical,Chess
outdoor,Medium,Team,Football,Drawing,Low,No,Free,Math,No,No,Group,Logical Games,Low,No,Alone,Relaxation,High,Yes,Gymnastics,Health,Gymnastics
indoor,Low,Team,Football,Drawing,Medium,No,Structured,Math,Yes,Yes,Individual,Puzzles,High,Yes,With others,Relaxation,High,No,Gymnastics,Analytical,Chess
outdoor,Medium,Team,Chess,Dance,Low,No,Structured,Science,No,No,Group,Puzzles,Medium,No,With others,Relaxation,Low,No,Meditation,Health,Meditation
outdoor,Low,Individual,Football,Drawing,Low,No,Structured,Language,Yes,Yes,Individual,Logical Games,Medium,Yes,With others,Relaxation,Medium,No,Gymnastics,Academics,Creative Writing
outdoor,High,Individual,Chess,Dance,Medium,No,Structured,Math,No,No,Individual,Coding,Low,No,Alone,Relaxation,Low,No,Meditation,Health,Meditation
outdoor,High,Team,Cricket,Music,Low,No,Free,Language,No,No,Group,Coding,Low,No,With others,Relaxation,Medium,No,Running,Sports,Cricket
outdoor,High,Team,Football,Drawing,Low,No,Free,Language,No,No,Individual,Puzzles,Low,No,Alone,Physical,High,Yes,Yoga,Sports,Football
indoor,Low,Individual,Badminton,Drawing,Medium,No,Free,Math,Yes,Yes,Individual,Puzzles,High,Yes,Alone,Relaxation,Medium,No,Running,Academics,Math Olympiad
outdoor,High,Team,Cricket,Dance,Low,No,Free,Science,No,No,Group,Logical Games,Medium,No,With others,Physical,Low,No,Meditation,Sports,Cricket
indoor,Low,Individual,Table Tennis,Dance,Low,No,Free,Math,Yes,Yes,Individual,Logical Games,High,Yes,With others,Relaxation,Low,No,Yoga,Analytical,Robotics
indoor,High,Individual,Table Tennis,Drawing,Low,No,Free,Math,No,Yes,Individual,Puzzles,Low,No,With others,Relaxation,Low,No,Gymnastics,Sports,Table Tennis
outdoor,Low,Individual,Cricket,Dance,Medium,No,Free,Math,Yes,Yes,Group,Coding,High,Yes,Alone,Physical,Low,Yes,Meditation,Analytical,Coding
indoor,Medium,Team,Cricket,Drawing,Medium,No,Structured,Math,No,No,Group,Logical Games,Low,No,With others,Relaxation,Low,No,Yoga,Health,Yoga
indoor,Medium,Team,Chess,Dance,Medium,No,Free,Science,No,No,Group,Puzzles,Medium,No,Alone,Relaxation,Medium,Yes,Yoga,Health,Yoga
indoor,High,Individual,Cricket,Music,Medium,No,Structured,Science,No,No,Individual,Puzzles,Low,No,With others,Physical,High,Yes,Gymnastics,Health,Gymnastics
indoor,Low,Individual,Table Tennis,Drawing,Low,No,Free,Science,Yes,Yes,Group,Logical Games,Medium,No,Alone,Physical,Medium,Yes,Running,Academics,Science Club
outdoor,High,Team,Cricket,Drawing,Low,No,Free,Language,No,No,Individual,Puzzles,Low,No,With others,Physical,Medium,Yes,Running,Sports,Cricket
indoor,Medium,Individual,Table Tennis,Dance,Low,No,Structured,Language,No,No,Group,Coding,Low,No,With others,Physical,High,Yes,Running,Health,Running
outdoor,High,Team,Cricket,Drawing,Low,No,Free,Science,No,No,Group,Puzzles,Low,No,Alone,Physical,Medium,Yes,Yoga,Sports,Cricket
outdoor,Low,Individual,Cricket,Dance,Low,No,Free,Language,No,Yes,Group,Coding,High,Yes,With others,Relaxation,Medium,No,Gymnastics,Analytical,Robotics
indoor,High,Individual,Badminton,Drawing,Low,No,Structured,Science,No,No,Group,Puzzles,Low,No,Alone,Relaxation,Low,Yes,Meditation,Sports,Badminton
indoor,Low,Individual,Football,Music,Medium,Yes,Free,Science,No,No,Group,Puzzles,Low,No,With others,Physical,High,Yes,Gymnastics,Health,Gymnastics
indoor,Low,Individual,Badminton,Music,High,Yes,Structured,Language,No,No,Individual,Puzzles,Low,Yes,With others,Physical,High,Yes,Yoga,Arts,Music
outdoor,High,Individual,Cricket,Music,Low,No,Free,Language,No,No,Individual,Logical Games,Low,No,With others,Relaxation,Medium,No,Yoga,Sports,Cricket
indoor,Low,Individual,Table Tennis,Music,Low,No,Free,Language,Yes,Yes,Individual,Puzzles,Low,No,With others,Physical,High,No,Yoga,Academics,Creative Writing
outdoor,High,Team,Football,Drawing,Low,No,Free,Math,No,No,Individual,Logical Games,Low,No,With others,Physical,Medium,No,Meditation,Sports,Football
outdoor,Medium,Team,Football,Dance,Medium,No,Structured,Language,No,No,Group,Logical Games,High,Yes,With others,Physical,Low,No,Gymnastics,Analytical,Robotics
indoor,High,Individual,Table Tennis,Music,Low,No,Free,Language,No,No,Group,Puzzles,Low,No,Alone,Relaxation,Medium,Yes,Meditation,Sports,Table Tennis
indoor,Medium,Individual,Badminton,Drawing,High,No,Free,Language,No,No,Group,Coding,Low,No,With others,Relaxation,Medium,Yes,Gymnastics,Arts,Drawing
outdoor,High,Team,Cricket,Dance,High,No,Free,Language,No,No,Group,Coding,Low,No,With others,Physical,Low,Yes,Meditation,Sports,Cricket
outdoor,High,Team,Football,Music,Low,No,Structured,Science,No,No,Individual,Logical Games,Low,No,Alone,Physical,Low,Yes,Yoga,Sports,Football
outdoor,High,Team,Football,Dance,Medium,No,Free,Science,No,No,Individual,Coding,Low,No,With others,Relaxation,Low,No,Gymnastics,Sports,Football
outdoor,Medium,Team,Table Tennis,Drawing,High,Yes,Free,Math,No,No,Individual,Coding,Low,No,With others,Physical,Medium,Yes,Running,Arts,Drawing
outdoor,Medium,Individual,Badminton,Music,Medium,No,Free,Language,No,No,Group,Puzzles,Low,No,With others,Physical,High,Yes,Gymnastics,Health,Gymnastics
outdoor,Low,Team,Table Tennis,Music,Medium,No,Structured,Language,Yes,No,Group,Coding,High,Yes,Alone,Relaxation,Low,No,Yoga,Analytical,Coding
outdoor,High,Team,Football,Dance,Low,No,Structured,Math,No,No,Group,Puzzles,Low,No,With others,Physical,Medium,No,Gymnastics,Sports,Football
outdoor,Medium,Team,Football,Dance,Low,No,Structured,Language,Yes,Yes,Group,Coding,Low,No,Alone,Physical,High,Yes,Gymnastics,Health,Gymnastics
indoor,Low,Individual,Table Tennis,Dance,Low,No,Structured,Science,No,Yes,Group,Coding,High,Yes,With others,Physical,High,No,Running,Analytical,Robotics
indoor,Low,Team,Badminton,Drawing,High,Yes,Structured,Science,No,No,Individual,Puzzles,Medium,Yes,Alone,Physical,Low,Yes,Meditation,Arts,Drawing
indoor,Medium,Individual,Badminton,Drawing,Low,Yes,Structured,Language,No,Yes,Individual,Coding,Low,No,Alone,Physical,High,Yes,Running,Health,Running
outdoor,Low,Team,Cricket,Dance,Low,No,Free,Math,No,No,Individual,Logical Games,High,Yes,Alone,Relaxation,Low,No,Running,Analytical,Chess
indoor,Medium,Team,Football,Music,Low,No,Free,Math,No,No,Group,Logical Games,Low,No,Alone,Physical,High,Yes,Running,Health,Running
outdoor,High,Individual,Football,Drawing,Medium,No,Free,Science,No,No,Individual,Coding,Low,No,Alone,Physical,Low,Yes,Running,Sports,Swimming
outdoor,Low,Individual,Cricket,Music,High,No,Free,Science,No,No,Individual,Puzzles,Low,No,Alone,Physical,High,Yes,Running,Health,Running
outdoor,High,Team,Cricket,Drawing,Low,No,Structured,Language,No,No,Group,Coding,Low,No,With others,Physical,Low,No,Yoga,Sports,Cricket
outdoor,Low,Team,Table Tennis,Dance,High,Yes,Structured,Language,No,No,Individual,Logical Games,Low,No,Alone,Relaxation,High,No,Yoga,Arts,Dance
outdoor,High,Individual,Badminton,Dance,Low,No,Free,Math,No,No,Group,Puzzles,Low,No,With others,Relaxation,High,Yes,Gymnastics,Sports,Badminton
indoor,High,Team,Badminton,Dance,Low,No,Structured,Language,Yes,No,Individual,Logical Games,Low,No,With others,Relaxation,Low,No,Meditation,Health,Meditation
outdoor,Low,Team,Football,Music,High,Yes,Structured,Language,No,Yes,Individual,Logical Games,Low,No,With others,Relaxation,Medium,Yes,Gymnastics,Arts,Music
indoor,High,Individual,Table Tennis,Music,Low,No,Structured,Language,No,No,Individual,Coding,Low,No,With others,Physical,Low,No,Yoga,Sports,Table Tennis
outdoor,Low,Team,Chess,Drawing,High,Yes,Free,Language,No,No,Individual,Coding,Low,No,With others,Relaxation,Low,No,Meditation,Arts,Drawing
outdoor,Low,Individual,Cricket,Dance,Low,No,Structured,Math,No,No,Individual,Logical Games,High,Yes,Alone,Physical,Low,No,Gymnastics,Analytical,Chess
indoor,Medium,Team,Table Tennis,Dance,Medium,No,Structured,Language,No,Yes,Individual,Coding,High,Yes,With others,Physical,Low,No,Running,Analytical,Robotics
indoor,Low,Team,Table Tennis,Dance,Low,No,Free,Science,No,Yes,Individual,Coding,High,Yes,With others,Physical,Medium,No,Meditation,Analytical,Robotics
outdoor,Low,Individual,Table Tennis,Drawing,High,Yes,Free,Language,No,No,Individual,Puzzles,Low,No,Alone,Relaxation,Low,Yes,Yoga,Arts,Drawing
outdoor,Low,Team,Football,Dance,Medium,No,Free,Science,No,Yes,Individual,Logical Games,High,Yes,Alone,Relaxation,Low,No,Running,Analytical,Chess
outdoor,Low,Team,Chess,Drawing,Medium,No,Free,Language,No,Yes,Group,Logical Games,High,Yes,With others,Relaxation,Medium,Yes,Running,Analytical,Robotics
indoor,High,Individual,Table Tennis,Drawing,Low,No,Structured,Math,No,Yes,Individual,Logical Games,Low,No,Alone,Physical,High,Yes,Running,Health,Running
indoor,Low,Team,Cricket,Drawing,Low,No,Structured,Science,No,No,Individual,Coding,High,Yes,Alone,Relaxation,Low,No,Yoga,Analytical,Coding
indoor,Low,Individual,Cricket,Music,Low,Yes,Structured,Language,No,No,Group,Puzzles,High,Yes,With others,Relaxation,Low,No,Gymnastics,Analytical,Robotics
outdoor,Low,Team,Badminton,Music,Low,No,Free,Language,No,Yes,Group,Coding,High,Yes,With others,Physical,Medium,No,Meditation,Analytical,Robotics
outdoor,Low,Team,Table Tennis,Music,Low,No,Structured,Math,Yes,Yes,Individual,Puzzles,High,Yes,Alone,Relaxation,Medium,No,Gymnastics,Analytical,Chess
outdoor,High,Individual,Football,Drawing,Low,No,Free,Science,No,No,Group,Logical Games,Low,No,Alone,Physical,Medium,Yes,Gymnastics,Health,Gymnastics
indoor,Low,Team,Chess,Music,Low,No,Structured,Science,Yes,No,Individual,Coding,High,Yes,Alone,Relaxation,Low,Yes,Gymnastics,Analytical,Coding
outdoor,Low,Team,Table Tennis,Music,Medium,No,Free,Math,Yes,Yes,Individual,Puzzles,High,Yes,With others,Physical,Low,No,Running,Academics,Math Olympiad
outdoor,High,Team,Cricket,Music,Low,No,Structured,Science,Yes,No,Group,Coding,Low,No,Alone,Physical,Medium,Yes,Yoga,Sports,Cricket
indoor,High,Individual,Cricket,Music,Medium,No,Free,Math,No,No,Group,Logical Games,Medium,No,Alone,Relaxation,Medium,No,Meditation,Health,Meditation
outdoor,Low,Team,Table Tennis,Dance,Low,No,Free,Science,Yes,Yes,Group,Puzzles,Medium,No,Alone,Physical,Medium,No,Meditation,Academics,Science Club
indoor,Low,Team,Cricket,Dance,Low,No,Structured,Language,No,Yes,Group,Coding,High,Yes,Alone,Physical,High,No,Yoga,Analytical,Coding
indoor,Low,Individual,Chess,Music,Medium,No,Structured,Science,Yes,Yes,Individual,Logical Games,High,Yes,Alone,Physical,High,No,Running,Academics,Science Club
indoor,Medium,Team,Table Tennis,Dance,Medium,No,Free,Language,No,No,Group,Puzzles,Medium,No,Alone,Physical,High,No,Running,Health,Running
outdoor,High,Individual,Cricket,Drawing,Medium,No,Structured,Language,Yes,No,Individual,Puzzles,Low,No,With others,Physical,High,Yes,Running,Health,Running
indoor,High,Individual,Badminton,Music,Low,No,Structured,Language,No,Yes,Group,Logical Games,Low,Yes,With others,Physical,Low,Yes,Yoga,Sports,Badminton
outdoor,Low,Team,Cricket,Dance,High,Yes,Structured,Language,No,No,Group,Puzzles,Low,No,Alone,Physical,Low,Yes,Gymnastics,Arts,Dance
outdoor,Medium,Team,Chess,Drawing,Low,No,Structured,Science,No,No,Individual,Puzzles,Low,No,With others,Physical,High,Yes,Running,Health,Running
outdoor,Medium,Team,Cricket,Dance,Low,No,Structured,Science,No,No,Individual,Coding,Low,No,Alone,Relaxation,Medium,Yes,Yoga,Health,Yoga
indoor,Low,Team,Chess,Dance,Low,No,Structured,Math,No,Yes,Group,Logical Games,Low,No,Alone,Relaxation,Low,Yes,Meditation,Health,Meditation
outdoor,High,Team,Cricket,Music,Low,No,Free,Math,Yes,No,Group,Coding,Low,No,With others,Physical,Medium,Yes,Running,Sports,Cricket
indoor,High,Individual,Badminton,Drawing,Low,No,Free,Language,No,No,Individual,Coding,Low,No,With others,Relaxation,Medium,No,Gymnastics,Sports,Badminton
indoor,Medium,Individual,Badminton,Drawing,Low,No,Structured,Language,Yes,No,Group,Logical Games,Low,No,Alone,Physical,Low,No,Yoga,Health,Yoga
outdoor,Low,Individual,Chess,Music,High,Yes,Free,Math,No,No,Individual,Puzzles,Low,No,Alone,Physical,High,No,Gymnastics,Arts,Music
outdoor,Low,Team,Table Tennis,Drawing,High,Yes,Free,Language,Yes,No,Group,Puzzles,Low,No,Alone,Physical,Medium,No,Meditation,Arts,Drawing
