Age,Olympiad_Participation,Scholarship,School,Fav_sub,Projects,Grasp_pow,Time_sprt,Medals,Career_sprt,Act_sprt,Fant_arts,Won_arts,Time_art,Predicted Hobby
14,Yes,Yes,Yes,Mathematics,No,5,3,Yes,No,No,No,No,1,Academics
16,Yes,Yes,Yes,Science,No,5,3,Yes,No,No,No,Maybe,1,Academics
12,Yes,Yes,Yes,Science,Yes,6,3,Yes,No,No,No,No,1,Academics
14,Yes,Yes,Yes,Any language,Yes,3,2,No,No,No,No,No,1,Academics
15,Yes,Yes,Yes,Science,Yes,5,4,Yes,No,No,No,No,6,Academics
10,Yes,Yes,Yes,History/Geography,No,5,1,No,No,No,No,No,1,Academics
15,Yes,Yes,Yes,Any language,No,5,3,Yes,No,No,No,No,1,Academics
12,Yes,Yes,Yes,Mathematics,Yes,2,4,No,No,No,No,Maybe,3,Academics
11,Yes,Yes,Yes,Science,No,5,2,Yes,No,No,No,No,3,Academics
17,Yes,Yes,Yes,Science,Yes,6,2,Yes,No,No,No,No,1,Academics
17,Yes,Yes,Yes,Any language,No,5,3,Yes,No,No,No,No,2,Academics
16,Yes,Yes,Yes,Mathematics,Yes,3,2,No,No,No,No,No,1,Academics
13,Yes,Yes,Yes,Science,Yes,5,2,No,No,No,No,Maybe,2,Academics
11,Yes,Yes,Yes,Science,Yes,5,2,No,No,No,No,Maybe,1,Academics
15,Yes,Yes,Yes,Mathematics,Yes,3,2,No,No,No,No,Maybe,1,Academics
14,Yes,Yes,Yes,Science,Yes,5,3,No,No,No,No,Maybe,1,Academics
11,Yes,Yes,Yes,Science,Yes,5,3,No,No,No,No,No,1,Academics
14,Yes,Yes,Yes,Science,Yes,5,3,Yes,No,No,No,No,1,Academics
10,Yes,Yes,Yes,Mathematics,Yes,5,2,No,No,No,No,No,1,Academics
17,Yes,Yes,Yes,Mathematics,No,5,2,Yes,No,No,No,Maybe,1,Academics
13,Yes,Yes,Yes,Mathematics,Yes,3,2,No,No,No,No,Maybe,1,Academics
15,Yes,Yes,Yes,Mathematics,Yes,5,3,No,No,No,No,Maybe,1,Academics
13,Yes,Yes,Yes,Science,Yes,3,1,No,No,No,No,Maybe,1,Academics
14,Yes,Yes,Yes,Mathematics,No,5,1,No,No,No,No,Maybe,1,Academics
14,Yes,Yes,Yes,Science,Yes,5,1,No,No,No,No,Maybe,1,Academics
12,Yes,Yes,Yes,Science,Yes,5,3,Yes,No,No,No,No,1,Academics
17,Yes,Yes,Yes,Mathematics,Yes,3,3,Yes,No,No,No,Maybe,2,Academics
16,Yes,Yes,Yes,Science,Yes,5,2,No,No,No,No,Maybe,1,Academics
17,Yes,Yes,Yes,Science,Yes,3,2,No,No,No,No,Maybe,2,Academics
16,Yes,Yes,Yes,Any language,Yes,2,3,No,No,No,No,Maybe,2,Academics
15,Yes,Yes,Yes,Any language,Yes,5,2,Yes,No,No,No,Maybe,1,Academics
17,Yes,Yes,Yes,Science,Yes,5,2,Yes,No,No,No,No,1,Academics
11,Yes,Yes,Yes,Mathematics,Yes,3,1,Yes,No,No,No,Maybe,2,Academics
12,Yes,Yes,Yes,Science,Yes,5,3,No,No,No,No,Maybe,1,Academics
10,Yes,Yes,Yes,Mathematics,Yes,3,2,No,No,No,No,No,1,Academics
13,Yes,Yes,Yes,Science,Yes,5,3,No,No,No,Yes,Maybe,2,Academics
13,Yes,Yes,No,Mathematics,Yes,3,2,No,No,No,Yes,No,1,Academics
13,Yes,Yes,No,Science,Yes,5,3,No,No,No,Yes,Maybe,3,Academics
16,Yes,Yes,No,Science,Yes,5,3,No,No,No,Yes,No,1,Academics
13,Yes,Yes,Yes,Science,Yes,5,3,No,No,No,Yes,No,1,Academics
13,Yes,Yes,Yes,Science,Yes,5,1,No,No,No,No,No,2,Academics
14,Yes,Yes,Yes,Science,Yes,3,2,Yes,No,No,Yes,Maybe,1,Academics
12,Yes,Yes,Yes,Mathematics,Yes,3,2,No,No,No,No,Maybe,1,Academics
16,Yes,Yes,Yes,Mathematics,No,3,2,No,No,No,Yes,No,1,Academics
11,Yes,Yes,Yes,Science,Yes,5,3,Yes,No,No,No,No,1,Academics
17,Yes,Yes,Yes,Science,Yes,5,3,No,No,No,Yes,No,3,Academics
16,Yes,Yes,Yes,Mathematics,Yes,3,3,Yes,No,No,No,No,2,Academics
12,Yes,Yes,Yes,Science,Yes,5,1,Yes,No,No,No,No,1,Academics
10,Yes,Yes,Yes,Mathematics,Yes,5,2,No,No,No,Yes,Maybe,1,Academics
16,Yes,Yes,Yes,Mathematics,Yes,5,2,Yes,No,No,Yes,No,1,Academics
15,Yes,Yes,Yes,Science,Yes,5,2,No,No,No,Yes,No,1,Academics
15,Yes,Yes,Yes,Science,Yes,5,2,Yes,No,No,No,No,2,Academics
16,Yes,Yes,Yes,Science,Yes,5,3,No,No,No,Yes,Maybe,1,Academics
11,Yes,Yes,Yes,Mathematics,Yes,5,2,Yes,No,No,Yes,No,1,Academics
13,Yes,Yes,Yes,Science,No,3,2,No,No,No,Yes,No,1,Academics
11,Yes,Yes,Yes,Mathematics,Yes,3,2,No,No,No,Yes,Maybe,3,Academics
16,Yes,Yes,No,Science,Yes,5,2,No,No,No,Yes,Maybe,1,Academics
15,Yes,Yes,Yes,Mathematics,Yes,5,2,No,No,No,Yes,No,2,Academics
13,Yes,Yes,Yes,Science,Yes,5,3,No,No,No,No,No,1,Academics
11,Yes,Yes,Yes,Mathematics,Yes,5,4,Yes,No,No,Yes,Maybe,1,Academics
13,Yes,Yes,Yes,Science,Yes,5,4,Yes,No,No,Yes,No,1,Academics
13,Yes,Yes,Yes,Mathematics,Yes,5,3,Yes,No,No,Yes,No,1,Academics
15,Yes,Yes,Yes,Mathematics,Yes,3,1,No,No,No,No,No,2,Academics
15,Yes,Yes,Yes,Science,Yes,3,3,Yes,No,No,Yes,Maybe,2,Academics
16,Yes,Yes,Yes,Mathematics,Yes,3,4,No,No,No,No,Maybe,1,Academics
14,Yes,Yes,Yes,Science,Yes,5,2,Yes,No,No,Yes,No,1,Academics
11,Yes,Yes,Yes,Science,Yes,5,2,Yes,No,No,Yes,Maybe,1,Academics
15,Yes,Yes,Yes,Any language,Yes,5,2,Yes,No,No,No,Maybe,2,Academics
16,Yes,Yes,Yes,Mathematics,Yes,5,1,Yes,No,No,Yes,Maybe,1,Academics
14,Yes,Yes,Yes,Any language,Yes,5,2,Yes,No,No,Yes,Maybe,1,Academics
16,Yes,Yes,No,Science,No,5,1,No,No,No,Yes,No,1,Academics
14,Yes,Yes,Yes,Science,Yes,5,3,Yes,No,No,No,No,3,Academics
14,Yes,Yes,Yes,Mathematics,Yes,3,2,No,No,No,Yes,Maybe,2,Academics
14,Yes,Yes,Yes,Science,Yes,5,1,Yes,No,No,Yes,Maybe,1,Academics
10,Yes,Yes,Yes,Science,Yes,5,3,Yes,No,No,No,No,2,Academics
11,Yes,Yes,No,Science,Yes,5,3,No,No,No,Yes,Maybe,2,Academics
10,Yes,Yes,Yes,Mathematics,Yes,5,2,No,No,No,Yes,Maybe,1,Academics
15,Yes,Yes,Yes,Mathematics,Yes,5,1,No,No,No,Yes,Maybe,1,Academics
13,Yes,Yes,Yes,Science,Yes,5,1,No,No,No,No,Maybe,1,Academics
14,Yes,Yes,Yes,Mathematics,Yes,5,2,No,No,No,Yes,Maybe,3,Academics
17,Yes,Yes,Yes,Science,Yes,3,2,No,No,No,No,No,2,Academics
12,Yes,Yes,Yes,Science,Yes,5,5,Yes,No,No,Yes,No,2,Academics
14,Yes,Yes,Yes,Mathematics,Yes,5,3,Yes,No,No,Yes,No,3,Academics
15,Yes,Yes,Yes,Science,Yes,5,2,No,No,No,Yes,No,1,Academics
12,Yes,Yes,Yes,Mathematics,Yes,3,3,No,No,No,Yes,Maybe,1,Academics
11,Yes,Yes,Yes,Science,Yes,3,2,No,No,No,Yes,No,1,Academics
13,Yes,Yes,Yes,Science,Yes,5,1,Yes,No,No,No,No,1,Academics
12,Yes,Yes,Yes,Science,Yes,5,1,Yes,No,No,Yes,Maybe,1,Academics
17,Yes,Yes,Yes,Science,Yes,5,3,Yes,No,No,Yes,Maybe,1,Academics
16,Yes,Yes,Yes,Mathematics,Yes,5,2,No,No,No,Yes,Maybe,1,Academics
15,Yes,Yes,Yes,Science,Yes,3,5,Yes,No,No,No,Maybe,1,Academics
16,Yes,Yes,Yes,Mathematics,Yes,5,2,No,No,No,Yes,Maybe,2,Academics
16,Yes,Yes,Yes,Science,Yes,3,2,Yes,No,No,No,No,1,Academics
12,Yes,Yes,Yes,Science,Yes,5,5,Yes,No,No,Yes,No,2,Academics
16,Yes,Yes,Yes,Science,Yes,5,2,Yes,No,No,No,No,1,Academics
14,Yes,Yes,Yes,Mathematics,Yes,5,4,Yes,No,No,Yes,Maybe,1,Academics
16,Yes,Yes,Yes,Science,Yes,5,3,Yes,No,No,Yes,No,1,Academics
16,Yes,Yes,Yes,Science,Yes,5,2,Yes,No,No,Yes,No,1,Academics
13,Yes,Yes,Yes,Science,Yes,5,2,Yes,No,No,Yes,Maybe,1,Academics
11,Yes,Yes,Yes,Mathematics,Yes,3,2,No,No,No,Yes,No,2,Academics
12,Yes,Yes,Yes,Any language,Yes,5,2,Yes,No,No,No,Maybe,1,Academics
14,Yes,Yes,Yes,Mathematics,Yes,5,1,Yes,No,No,Yes,Maybe,1,Academics
16,Yes,Yes,Yes,Mathematics,Yes,5,2,Yes,No,No,No,No,1,Academics
16,Yes,Yes,Yes,Science,Yes,5,1,No,No,No,Yes,No,1,Academics
10,Yes,Yes,Yes,Science,Yes,3,2,Yes,No,No,No,No,1,Academics
14,Yes,Yes,Yes,Science,Yes,2,2,Yes,No,No,No,No,1,Academics
14,Yes,Yes,Yes,Science,Yes,3,2,Yes,No,No,Yes,Maybe,1,Academics
12,Yes,Yes,Yes,Mathematics,Yes,2,4,No,No,No,No,Maybe,2,Academics
11,Yes,Yes,Yes,Any language,Yes,5,2,Yes,No,No,Yes,No,1,Academics
13,Yes,Yes,Yes,History/Geography,Yes,5,2,No,No,No,Yes,Maybe,1,Academics
17,Yes,Yes,Yes,Any language,Yes,3,3,Yes,No,No,No,Maybe,1,Academics
13,Yes,Yes,Yes,Science,Yes,3,3,No,No,No,Yes,Maybe,1,Academics
14,Yes,Yes,Yes,Mathematics,Yes,3,2,No,No,No,Yes,No,1,Academics
15,Yes,Yes,Yes,Science,Yes,5,3,Yes,No,No,No,No,1,Academics
13,Yes,Yes,Yes,Mathematics,Yes,3,2,Yes,No,No,Yes,No,1,Academics
17,Yes,Yes,Yes,Mathematics,Yes,5,2,No,No,No,Yes,Maybe,1,Academics
17,Yes,Yes,Yes,Mathematics,Yes,5,4,No,No,No,No,Maybe,1,Academics
13,Yes,Yes,Yes,Science,Yes,5,1,No,No,No,Yes,Maybe,1,Academics
14,Yes,Yes,Yes,Mathematics,Yes,5,2,Yes,No,No,Yes,No,2,Academics
13,Yes,Yes,Yes,Any language,Yes,2,2,Yes,No,No,Yes,Maybe,1,Academics
13,Yes,Yes,Yes,Any language,Yes,5,2,Yes,No,No,No,No,1,Academics
10,Yes,Yes,Yes,History/Geography,Yes,5,5,No,No,No,No,No,1,Academics
15,Yes,Yes,Yes,Mathematics,Yes,3,1,Yes,No,No,Yes,Maybe,1,Academics
14,Yes,Yes,Yes,Science,Yes,3,2,No,No,No,Yes,Maybe,1,Academics
11,Yes,Yes,Yes,Mathematics,Yes,3,1,No,No,No,Yes,No,1,Academics
13,Yes,Yes,Yes,Science,Yes,5,3,No,No,No,Yes,Maybe,2,Academics
17,Yes,Yes,Yes,Mathematics,Yes,5,2,Yes,No,No,Yes,Maybe,1,Academics
12,Yes,Yes,Yes,Mathematics,No,3,3,No,No,No,Yes,No,3,Academics
12,Yes,Yes,Yes,Science,Yes,3,1,Yes,No,No,No,No,1,Academics
14,Yes,Yes,Yes,Any language,Yes,5,3,No,No,Yes,Yes,No,1,Academics
17,Yes,Yes,Yes,Science,Yes,2,3,Yes,No,Yes,No,No,2,Academics
12,Yes,Yes,Yes,Science,Yes,5,4,No,No,No,Yes,Maybe,1,Academics
15,Yes,Yes,Yes,Mathematics,Yes,3,2,No,No,No,Yes,No,2,Academics
16,Yes,Yes,Yes,Science,Yes,5,1,Yes,No,Yes,Yes,Maybe,3,Academics
12,Yes,Yes,Yes,Science,Yes,5,3,Yes,No,Yes,No,No,1,Academics
15,Yes,Yes,Yes,Mathematics,Yes,3,2,Yes,No,Yes,Yes,No,1,Academics
13,Yes,Yes,Yes,Any language,Yes,5,2,Yes,No,Yes,No,No,1,Academics
15,Yes,Yes,Yes,History/Geography,Yes,5,3,Yes,No,Yes,Yes,Maybe,1,Academics
15,Yes,Yes,Yes,Science,Yes,1,2,Yes,No,Yes,Yes,Maybe,1,Academics
14,Yes,Yes,Yes,Mathematics,Yes,2,2,Yes,No,Yes,No,No,1,Academics
11,Yes,Yes,No,Science,Yes,5,2,No,No,No,Yes,Maybe,1,Academics
16,Yes,Yes,No,History/Geography,Yes,5,3,No,No,No,No,Maybe,2,Academics
13,Yes,Yes,Yes,History/Geography,Yes,2,3,No,No,No,Yes,Maybe,1,Academics
12,Yes,Yes,Yes,Any language,Yes,2,2,No,No,No,No,No,1,Academics
10,Yes,Yes,Yes,Science,Yes,5,2,Yes,No,No,No,No,1,Academics
15,Yes,Yes,Yes,Mathematics,Yes,3,3,No,No,No,No,No,2,Academics
15,Yes,Yes,Yes,Science,Yes,5,3,No,No,No,No,No,1,Academics
10,Yes,Yes,Yes,Science,Yes,5,4,No,No,No,No,No,2,Academics
14,Yes,Yes,Yes,Science,Yes,3,2,No,No,No,No,No,1,Academics
12,Yes,Yes,Yes,Science,Yes,2,3,No,No,No,No,No,1,Academics
15,Yes,Yes,Yes,Mathematics,Yes,5,3,No,No,No,No,No,1,Academics
12,Yes,Yes,Yes,Mathematics,Yes,2,4,No,No,No,No,Maybe,3,Academics
15,Yes,Yes,Yes,Science,Yes,2,2,No,No,No,Yes,No,1,Academics
13,Yes,Yes,Yes,Mathematics,Yes,2,3,No,No,No,Yes,No,3,Academics
17,Yes,Yes,Yes,Mathematics,Yes,2,3,No,No,No,No,Maybe,5,Academics
12,Yes,Yes,Yes,Science,Yes,1,2,No,No,No,No,No,3,Academics
13,Yes,Yes,Yes,Science,Yes,5,3,No,No,No,No,No,3,Academics
11,Yes,Yes,Yes,Any language,Yes,5,2,No,No,No,No,No,2,Academics
17,Yes,Yes,Yes,Science,Yes,3,1,No,No,No,No,No,2,Academics
16,Yes,Yes,Yes,Science,Yes,5,3,No,No,No,No,No,2,Academics
13,Yes,Yes,Yes,Science,Yes,3,2,No,No,No,No,No,1,Academics
15,Yes,Yes,Yes,Any language,Yes,5,3,No,No,No,No,Maybe,1,Academics
16,Yes,Yes,Yes,Science,Yes,5,3,No,No,No,No,No,1,Academics
14,Yes,Yes,Yes,Mathematics,Yes,5,4,No,No,No,No,No,2,Academics
14,Yes,Yes,Yes,Science,Yes,5,4,No,No,No,No,Maybe,4,Academics
12,Yes,Yes,Yes,History/Geography,Yes,5,1,No,No,No,No,No,1,Academics
11,Yes,Yes,Yes,Science,Yes,5,3,No,No,No,No,No,3,Academics
16,Yes,Yes,Yes,Mathematics,Yes,2,4,No,No,No,No,Maybe,1,Academics
17,Yes,Yes,Yes,Science,Yes,5,2,No,No,No,No,No,1,Academics
15,Yes,Yes,Yes,Science,Yes,5,3,No,No,No,No,Maybe,1,Academics
13,Yes,Yes,Yes,Mathematics,Yes,5,3,No,No,No,No,No,3,Academics
13,Yes,Yes,Yes,History/Geography,Yes,4,3,No,No,No,No,No,3,Academics
15,Yes,Yes,Yes,Mathematics,Yes,3,3,No,No,No,No,No,2,Academics
16,Yes,Yes,Yes,Mathematics,Yes,4,5,No,No,No,No,No,1,Academics
16,Yes,Yes,Yes,Science,Yes,2,3,No,No,No,No,No,3,Academics
16,Yes,Yes,Yes,Mathematics,Yes,1,2,No,No,No,No,No,2,Academics
15,Yes,Yes,Yes,Mathematics,Yes,3,5,No,No,No,No,No,3,Academics
11,Yes,Yes,Yes,Any language,Yes,4,5,No,No,No,No,No,1,Academics
12,Yes,Yes,Yes,Mathematics,No,3,4,No,No,No,No,No,1,Academics
16,Yes,Yes,Yes,Mathematics,Yes,2,2,No,No,No,No,No,1,Academics
15,Yes,Yes,Yes,History/Geography,No,4,3,No,No,No,No,No,2,Academics
10,Yes,Yes,Yes,Science,Yes,2,3,No,No,No,No,No,2,Academics
11,Yes,Yes,Yes,Mathematics,Yes,3,3,No,No,No,No,No,3,Academics
15,Yes,Yes,Yes,Science,Yes,3,3,No,No,No,No,No,3,Academics
10,Yes,Yes,Yes,Mathematics,Yes,3,3,No,No,No,No,No,3,Academics
12,Yes,Yes,Yes,Science,Yes,5,3,No,No,No,No,No,4,Academics
14,Yes,Yes,Yes,Mathematics,Yes,4,1,No,No,No,No,No,3,Academics
15,Yes,Yes,Yes,Mathematics,Yes,3,4,No,No,No,No,No,1,Academics
15,Yes,Yes,Yes,Any language,Yes,2,2,No,No,No,No,No,2,Academics
12,Yes,Yes,Yes,Science,Yes,5,2,No,No,No,No,No,2,Academics
15,Yes,Yes,Yes,Mathematics,Yes,4,3,No,No,No,No,No,1,Academics
12,Yes,Yes,Yes,Mathematics,Yes,5,3,No,No,No,No,No,3,Academics
13,Yes,Yes,Yes,Mathematics,Yes,3,2,No,No,No,No,No,1,Academics
15,Yes,Yes,Yes,Science,Yes,4,3,No,No,No,No,No,1,Academics
15,Yes,Yes,Yes,Mathematics,Yes,5,3,No,No,No,No,No,3,Academics
16,Yes,Yes,Yes,Science,Yes,4,3,No,No,No,No,No,3,Academics
15,Yes,Yes,Yes,Science,Yes,4,4,No,No,No,No,No,5,Academics
14,Yes,Yes,Yes,History/Geography,Yes,4,1,No,No,No,No,No,2,Academics
11,Yes,Yes,Yes,Any language,Yes,4,3,No,No,No,No,No,2,Academics
13,Yes,Yes,Yes,Mathematics,Yes,2,4,No,No,No,No,Maybe,3,Academics
13,Yes,Yes,Yes,Any language,No,4,2,No,No,No,No,No,1,Academics
12,Yes,Yes,Yes,Science,Yes,4,2,No,No,No,No,No,2,Academics
17,Yes,Yes,Yes,Mathematics,Yes,4,2,No,No,No,No,No,1,Academics
13,Yes,Yes,Yes,Science,Yes,3,2,No,No,No,No,No,3,Academics
16,Yes,Yes,Yes,Mathematics,No,4,1,No,No,No,No,No,3,Academics
15,Yes,Yes,Yes,Any language,No,4,3,No,No,No,No,No,3,Academics
16,Yes,Yes,Yes,Mathematics,No,3,2,No,No,No,No,No,1,Academics
14,Yes,Yes,Yes,Any language,Yes,2,3,No,No,No,No,No,2,Academics
14,Yes,Yes,No,Science,No,3,1,No,No,No,No,No,3,Academics
14,Yes,Yes,Yes,Any language,Yes,4,3,No,No,No,No,No,3,Academics
12,Yes,Yes,Yes,Science,Yes,4,3,No,No,No,No,No,3,Academics
15,Yes,Yes,Yes,Mathematics,Yes,3,3,No,No,No,No,No,2,Academics
13,Yes,Yes,Yes,Mathematics,Yes,3,2,No,No,No,No,No,1,Academics
10,Yes,Yes,Yes,Any language,No,4,3,No,No,No,No,No,2,Academics
15,Yes,Yes,Yes,Science,Yes,3,3,No,No,No,No,No,1,Academics
12,Yes,Yes,No,Mathematics,No,4,3,No,No,No,No,No,3,Academics
17,Yes,Yes,Yes,Science,Yes,5,3,No,No,No,No,No,1,Academics
17,Yes,Yes,Yes,Mathematics,Yes,5,3,No,No,No,No,No,1,Academics
17,Yes,Yes,Yes,Mathematics,Yes,2,3,No,No,No,No,No,2,Academics
13,Yes,Yes,Yes,Any language,Yes,3,2,No,No,No,No,No,2,Academics
10,Yes,Yes,Yes,Science,Yes,3,4,No,No,No,No,No,3,Academics
17,Yes,Yes,Yes,Any language,Yes,2,3,No,No,No,No,No,2,Academics
14,Yes,Yes,Yes,Any language,Yes,5,5,No,No,No,No,No,1,Academics
17,Yes,Yes,Yes,Science,Yes,5,3,No,No,No,No,No,2,Academics
17,Yes,Yes,Yes,Mathematics,Yes,3,3,No,No,No,No,No,3,Academics
16,Yes,Yes,Yes,Mathematics,Yes,5,3,No,No,No,No,No,3,Academics
13,Yes,Yes,Yes,Mathematics,Yes,3,3,No,No,No,No,No,3,Academics
13,Yes,Yes,Yes,Science,Yes,2,3,No,No,No,No,No,3,Academics
16,Yes,Yes,Yes,Mathematics,Yes,2,4,No,No,No,No,Maybe,3,Academics
13,Yes,Yes,Yes,Science,Yes,5,3,No,No,No,No,No,1,Academics
12,Yes,Yes,Yes,Mathematics,Yes,3,2,No,No,No,No,No,1,Academics
14,Yes,Yes,Yes,Mathematics,Yes,4,4,No,No,No,No,No,1,Academics
17,Yes,Yes,Yes,History/Geography,No,4,1,No,No,No,No,No,1,Academics
15,Yes,Yes,Yes,Science,Yes,3,1,No,No,No,No,No,2,Academics
14,Yes,Yes,Yes,Mathematics,Yes,2,4,No,No,No,No,Maybe,3,Academics
11,Yes,Yes,Yes,Science,Yes,3,3,No,No,No,No,Maybe,1,Academics
15,Yes,Yes,Yes,Science,Yes,5,2,No,No,No,No,No,2,Academics
17,Yes,Yes,Yes,Mathematics,Yes,5,3,No,No,No,No,No,3,Academics
12,Yes,Yes,Yes,Science,Yes,3,2,No,No,No,No,No,2,Academics
14,Yes,Yes,Yes,Mathematics,Yes,4,1,No,No,No,No,No,2,Academics
16,Yes,Yes,Yes,Any language,Yes,4,3,No,No,No,No,No,2,Academics
15,Yes,Yes,Yes,Any language,Yes,5,3,No,No,No,No,No,1,Academics
15,Yes,Yes,Yes,Science,No,4,1,No,No,No,No,No,1,Academics
15,Yes,Yes,Yes,Science,Yes,4,4,No,No,No,No,No,5,Academics
13,Yes,Yes,Yes,History/Geography,No,4,1,No,No,No,No,No,1,Academics
13,Yes,Yes,Yes,Mathematics,No,3,4,No,No,No,No,No,1,Academics
16,Yes,Yes,Yes,Science,No,4,2,No,No,No,No,No,1,Academics
16,Yes,Yes,Yes,Any language,Yes,2,2,No,No,No,No,No,1,Academics
16,Yes,Yes,Yes,Any language,Yes,4,2,No,No,No,No,No,1,Academics
17,Yes,Yes,Yes,Mathematics,Yes,4,2,No,No,No,No,No,2,Academics
14,Yes,Yes,Yes,Science,Yes,3,2,No,No,No,No,No,2,Academics
14,Yes,Yes,Yes,Mathematics,No,4,3,No,No,No,No,No,2,Academics
16,Yes,Yes,Yes,Mathematics,Yes,3,2,No,No,No,No,No,1,Academics
15,Yes,Yes,Yes,Any language,Yes,5,1,No,No,No,No,No,1,Academics
15,Yes,Yes,Yes,Science,Yes,4,3,No,No,No,No,No,3,Academics
16,Yes,Yes,Yes,Mathematics,Yes,4,1,No,No,No,No,No,2,Academics
16,Yes,Yes,Yes,Mathematics,Yes,4,2,No,No,No,No,No,3,Academics
13,Yes,Yes,Yes,Science,Yes,3,2,No,No,No,No,No,2,Academics
13,Yes,Yes,Yes,Mathematics,Yes,5,2,No,No,No,No,No,3,Academics
11,Yes,Yes,Yes,Mathematics,Yes,3,3,No,No,No,No,No,2,Academics
14,Yes,Yes,Yes,Science,Yes,4,3,No,No,No,No,No,3,Academics
10,Yes,Yes,Yes,Science,No,3,2,No,No,No,No,No,2,Academics
14,Yes,Yes,Yes,Science,No,4,2,No,No,No,No,No,1,Academics
14,Yes,Yes,Yes,Science,No,5,3,No,No,No,No,No,2,Academics
13,Yes,Yes,Yes,Mathematics,Yes,4,3,No,No,No,No,No,2,Academics
15,Yes,Yes,Yes,Mathematics,No,3,2,No,No,No,No,No,1,Academics
10,Yes,Yes,Yes,Mathematics,No,2,1,No,No,No,No,No,3,Academics
10,Yes,Yes,Yes,Mathematics,Yes,3,3,No,No,No,No,No,2,Academics
16,Yes,Yes,Yes,Science,Yes,3,5,No,No,No,No,No,2,Academics
13,Yes,Yes,Yes,Science,Yes,4,5,No,No,No,No,No,2,Academics
11,Yes,Yes,Yes,Science,Yes,4,3,No,No,No,No,No,1,Academics
14,Yes,Yes,Yes,Mathematics,Yes,5,4,No,No,No,No,No,2,Academics
16,Yes,Yes,Yes,Any language,Yes,4,4,No,No,No,No,No,1,Academics
12,Yes,Yes,Yes,Mathematics,Yes,4,2,No,No,No,No,No,2,Academics
15,Yes,Yes,Yes,Mathematics,No,4,3,No,No,No,No,No,1,Academics
11,Yes,Yes,Yes,Science,Yes,5,2,No,No,No,No,No,1,Academics
11,Yes,Yes,Yes,Any language,Yes,5,2,No,No,No,No,No,1,Academics
14,Yes,Yes,Yes,Mathematics,No,4,3,No,No,No,No,No,1,Academics
14,Yes,Yes,Yes,Any language,Yes,4,2,No,No,No,No,No,1,Academics
15,Yes,Yes,Yes,Science,Yes,4,1,No,No,No,No,No,1,Academics
15,Yes,Yes,Yes,Mathematics,No,4,3,No,No,No,No,No,2,Academics
17,Yes,Yes,Yes,Mathematics,No,3,1,No,No,No,No,No,1,Academics
14,Yes,Yes,Yes,Mathematics,No,3,3,No,No,No,No,No,3,Academics
13,Yes,Yes,Yes,Science,Yes,4,2,No,No,No,No,No,3,Academics
16,Yes,Yes,Yes,History/Geography,Yes,3,2,No,No,No,No,No,2,Academics
13,Yes,Yes,Yes,Any language,Yes,3,3,No,No,No,No,No,2,Academics
14,Yes,Yes,Yes,Mathematics,No,3,4,No,No,No,No,No,1,Academics
11,Yes,Yes,Yes,Mathematics,No,4,2,No,No,No,No,No,2,Academics
10,Yes,Yes,Yes,Mathematics,Yes,3,2,No,No,No,No,No,1,Academics
